id,location_big,location,seller_type,type,partitioning,comfort,price,rooms_count,useful_surface,built_surface,construction_year,real_estate_type,height_regime,level,max_level,kitchens_count,bathrooms_count,garages_count,parking_lots_count,balconies_count
119,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,semidecomandat,1,66670,2,46,58,2020,bloc de apartamente,P+4E,3,4,1,1,,,1
120,"Bucuresti, Sector 1, zona Baneasa",Baneasa,agency,apartament,semidecomandat,1,135000,4,90,124,2018,bloc de apartamente,P+5E,5,5,1,3,,2,1
121,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,,26800,1,30,,2021,bloc de apartamente,P+7E,Parter,7,1,1,,1,1
122,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,31500,1,39,47,2020,bloc de apartamente,P+6E,2,6,1,1,,,1
123,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,lux,39900,2,46,56,2020,bloc de apartamente,P+7E,4,7,1,1,,,1
124,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,44400,2,43,52,2020,bloc de apartamente,D+P+8E,7,8,1,1,,1,1
125,"Bucuresti, Sector 1, zona Aviatiei",Aviatiei,agency,apartament,decomandat,1,135000,2,53,70,2019,bloc de apartamente,S+P+10E,7,10,1,2,,,1
126,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,semidecomandat,1,126000,2,51,63,2020,bloc de apartamente,P+7E,4,7,1,1,,,1
127,"Bucuresti, Sector 2, zona Dacia",Dacia,agency,apartament,semidecomandat,lux,173950,3,84,105,2019,bloc de apartamente,S+D+P+8E,7,8,1,2,,,1
128,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,lux,28900,1,31,41,2019,bloc de apartamente,P+7E,5,7,1,1,,,1
129,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,semidecomandat,1,49400,2,53,65,2021,bloc de apartamente,P+3E,3,3,1,1,,,1
130,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,1,85000,3,145,160,2021,bloc de apartamente,P+3E,Parter,3,1,2,,,1
201,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,1,41800,2,51,60,2018,bloc de apartamente,P+3E,2,3,1,1,,1,1
202,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,117900,2,47,60,2021,bloc de apartamente,P+8E,3,8,1,1,,,1
203,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,lux,31000,2,46,49,1984,bloc de apartamente,P+3E,1,3,1,1,1,1,1
204,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,lux,71500,2,60,80,2020,bloc de apartamente,S+P+5E+M,3,5,1,1,,,1
205,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,184999,3,90,108,2019,bloc de apartamente,S+P+11E,5,11,1,2,1,1,1
206,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,209999,3,90,107,2019,bloc de apartamente,S+P+8E,3,8,1,2,1,1,1
207,"Bucuresti, Sector 3, zona Nicolae Grigorescu",Nicolae Grigorescu,agency,apartament,decomandat,1,87000,2,76,76,2020,bloc de apartamente,P+3E,Parter,3,1,1,,,2
208,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,lux,109500,3,90,107,2020,bloc de apartamente,D+P+5E,4,5,1,2,,,1
209,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,lux,65900,2,63,85,2020,bloc de apartamente,S+P+11E,3,11,1,1,,,
210,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,43500,2,46,50,2020,bloc de apartamente,P+3E,3,3,1,1,,,1
211,"Bucuresti, Sector 3, zona Titan",Titan,agency,apartament,decomandat,lux,99500,3,89,101,2021,bloc de apartamente,S+P+6E,4,6,1,2,,,1
212,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,82000,2,54,63,2020,bloc de apartamente,S+P+3E,1,3,1,1,,1,1
213,"Bucuresti, Sector 3, zona Titan",Titan,agency,apartament,decomandat,lux,71500,2,52,64,2021,bloc de apartamente,S+P+6E,1,6,1,1,,,1
214,"Bucuresti, Sector 2, zona Lacul Tei",Lacul Tei,agency,apartament,decomandat,1,173000,3,95,117,2020,bloc de apartamente,P+3E,2,3,1,2,,,1
215,"Bucuresti, Sector 3, zona Liviu Rebreanu",Liviu Rebreanu,agency,apartament,decomandat,lux,80500,2,58,70,2021,bloc de apartamente,P+9E,3,9,1,1,,,1
216,"Bucuresti, Sector 2, zona Lacul Tei",Lacul Tei,agency,apartament,semidecomandat,1,130200,2,75,89,2020,bloc de apartamente,P+3E,2,3,1,1,,,1
217,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,200000,3,82,99,2020,bloc de apartamente,P+5E,4,5,1,2,,,
218,"Bucuresti, Sector 2, zona Lacul Tei",Lacul Tei,agency,apartament,decomandat,1,106000,2,61,76,2020,bloc de apartamente,P+3E,2,3,1,1,,,1
219,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,39900,1,38,45,2020,bloc de apartamente,D+P+8E,2,8,1,1,,1,1
220,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,lux,69500,2,60,84,2020,bloc de apartamente,P+6E,2,6,1,1,,,1
221,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,1,88498,2,57,63,2020,bloc de apartamente,S+P+7E,3,7,1,1,,,1
222,"Bucuresti, Sector 1, zona Straulesti",Straulesti,agency,apartament,decomandat,lux,64900,2,60,71,2019,bloc de apartamente,P+4E,1,4,1,1,,30,1
223,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,,58900,2,88,100,2021,bloc de apartamente,P+3E,Parter,3,1,11,,,1
224,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,212625,3,85,102,2021,bloc de apartamente,D+P+5E,2,5,1,2,,,1
225,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,65500,1,43,53,2021,bloc de apartamente,S+P+11E,3,11,1,1,,,1
226,"Bucuresti, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,1,35619,2,64,73,2020,bloc de apartamente,P+5E,1,5,1,1,,,1
227,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,lux,81000,1,47,57,2020,bloc de apartamente,S+P+11E,5,11,1,1,,,1
228,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,95000,2,55,75,2020,bloc de apartamente,S+P+11E,2,11,1,1,,,1
229,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,lux,95000,2,54,71,2020,bloc de apartamente,S+P+11E,1,11,1,1,,,1
230,"Bucuresti, zona Baneasa",Baneasa,agency,apartament,decomandat,1,164000,3,123,157,2019,bloc de apartamente,P+10E,Parter,10,1,2,,,
301,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,148000,3,85,114,,bloc de apartamente,S+P+11E,4,11,1,2,,,2
302,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,87500,3,,,2019,bloc de apartamente,S+P+11E,6,11,1,2,,,1
304,"Bucuresti, Sector 1, zona Nord",Nord,agency,apartament,semidecomandat,1,106000,3,71,93,2018,bloc de apartamente,P+5E,2,5,1,2,,1,1
305,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,26900,1,32,43,2020,bloc de apartamente,D+P+7E,2,7,1,1,,1,1
306,"Bucuresti, Sector 6, zona Pacii",Pacii,agency,apartament,decomandat,1,53100,2,53,71,2020,bloc de apartamente,S+D+P+10E+M,10,10,1,1,,,1
307,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,lux,39700,1,51,60,2020,bloc de apartamente,P+8E,5,8,1,1,,,1
308,"Bucuresti, Sector 1, zona Domenii",Domenii,agency,apartament,decomandat,lux,215000,4,100,133,2021,bloc de apartamente,S+P+12E,3,12,1,2,,,1
309,"Bucuresti, zona Baneasa",Baneasa,agency,apartament,,1,65000,1,38,57,2019,bloc de apartamente,P+10E,6,10,1,,1,,
310,"Bucuresti, Sector 1, zona Domenii",Domenii,agency,apartament,decomandat,lux,186000,3,82,111,2019,bloc de apartamente,S+P+11E,4,11,1,2,,,1
311,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,lux,295000,3,120,148,2021,bloc de apartamente,D+P+6E,Parter,6,1,2,,,
312,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,86900,2,66,78,2013,bloc de apartamente,S+P+4E,1,4,1,1,,,1
313,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,1,52500,2,54,54,2020,bloc de apartamente,P+5E,2,5,1,1,,,1
314,"Bucuresti, Sector 2, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,301600,3,104,173,2020,bloc de apartamente,S+P+11E,8,11,1,2,,,2
315,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,41221,1,43,50,2021,bloc de apartamente,S+P+6E,Parter,6,1,1,,,1
316,"Bucuresti, Sector 3, zona Titan",Titan,agency,apartament,decomandat,lux,63900,2,64,75,2021,bloc de apartamente,P+5E,2,5,1,1,,,1
317,"Bucuresti, Sector 3, zona Mihai Bravu",Mihai Bravu,agency,apartament,decomandat,lux,121500,3,76,89,2019,bloc de apartamente,D+P+2E+M,Parter,2,1,2,1,1,1
318,"Bucuresti, Sector 3, zona Mihai Bravu",Mihai Bravu,agency,apartament,decomandat,lux,92000,2,61,71,2020,bloc de apartamente,D+P+2E+M,2,2,1,1,1,1,1
319,"Bucuresti, Sector 4, zona Sud",Sud,agency,apartament,decomandat,1,44900,2,55,,2018,bloc de apartamente,S+P+4E+M,4,4,1,1,,,1
320,"Bucuresti, Sector 1, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,125000,3,92,125,2019,bloc de apartamente,P+4E,1,4,1,2,,,3
321,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,1,106257,3,80,86,2020,bloc de apartamente,S+P+7E,4,7,1,2,,,2
322,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,,1,32500,2,34,,2021,bloc de apartamente,P+3E,1,3,1,1,,,1
323,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,lux,65900,2,63,86,2020,bloc de apartamente,S+P+11E,2,11,1,1,,,1
324,"Bucuresti, Sector 3, zona Titan",Titan,agency,apartament,decomandat,1,85900,2,52,63,2021,bloc de apartamente,S+P+6E,Parter,6,1,1,,,1
325,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,1,41800,2,51,61,2020,bloc de apartamente,P+3E,1,3,1,1,,1,1
326,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,50350,2,54,65,2020,bloc de apartamente,P+5E,2,5,1,1,,14,1
327,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,40755,1,41,48,2021,bloc de apartamente,P+3E,1,3,1,1,,,1
328,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,115000,3,87,95,2020,bloc de apartamente,S+P+7E,5,7,1,2,,,1
329,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,119500,3,90,105,2010,bloc de apartamente,S+P+4E,2,4,1,2,,,2
330,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,1,54000,2,60,,2020,bloc de apartamente,P+10E,1,10,1,1,,,1
401,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,484990,4,150,280,2018,bloc de apartamente,P+6E,6,6,1,4,1,2,1
402,"Bucuresti, Sector 3, zona Titan",Titan,agency,apartament,decomandat,lux,55000,2,54,59,2020,bloc de apartamente,D+P+2E,1,2,1,1,,1,1
403,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,53000,2,50,60,1972,bloc de apartamente,P+7E,2,7,1,1,,1,1
404,"Bucuresti, Sector 1, zona Ultracentral",Ultracentral,agency,apartament,semidecomandat,lux,144550,2,47,86,2020,bloc de apartamente,S+P+7E,1,7,1,1,,,1
405,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,lux,26000,1,28,33,2019,bloc de apartamente,P+5E,4,5,1,1,,1,1
406,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,lux,64900,3,72,90,2019,bloc de apartamente,D+P,3,,1,2,,1,2
407,"Bucuresti, Sector 3, zona Theodor Pallady",Theodor Pallady,agency,apartament,semidecomandat,1,59000,2,45,62,2020,bloc de apartamente,P+11E,8,11,1,1,,,1
408,"Bucuresti, Sector 3, zona Salajan",Salajan,agency,apartament,decomandat,1,47500,2,36,45,1991,bloc de apartamente,P+10E,Parter,10,1,1,,,1
409,"Bucuresti, Sector 1, zona Bucurestii Noi",Bucurestii Noi,agency,apartament,semidecomandat,lux,104000,3,81,103,2019,bloc de apartamente,P+4E,3,4,1,2,,,1
410,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,lux,95000,2,54,70,2020,bloc de apartamente,S+P+11E,3,11,1,1,,,1
411,"Bucuresti, zona Prelungirea Ghencea",Prelungirea Ghencea,agency,apartament,decomandat,1,43800,2,53,66,2019,bloc de apartamente,P+4E,2,4,1,1,,1,1
412,"Bucuresti, zona 1 Mai",1 Mai,agency,apartament,decomandat,lux,179237,3,82,110,2020,bloc de apartamente,S+P+11E,5,11,1,2,,,1
413,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,lux,91000,2,77,93,2020,bloc de apartamente,P+4E,2,4,1,1,,,1
414,"Bucuresti, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,1,44500,2,54,64,2019,bloc de apartamente,P+4E,2,4,1,1,,1,1
415,"Bucuresti, Sector 6, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,lux,56000,2,70,81,2019,bloc de apartamente,S+P+9E,2,9,1,1,,,1
416,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,550000,5,218,254,2020,bloc de apartamente,P+5E,5,5,1,4,,,
417,"Bucuresti, Sector 1, zona Floreasca",Floreasca,agency,apartament,decomandat,lux,629000,4,124,155,2020,bloc de apartamente,S+P+20E,9,20,1,3,,,1
418,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,52500,2,55,62,2020,bloc de apartamente,P+5E,2,5,1,1,,,1
420,"Bucuresti, Sector 1, zona Baneasa",Baneasa,agency,apartament,decomandat,lux,89000,3,74,96,2020,bloc de apartamente,D+P+4E,1,4,1,1,,1,1
421,"Bucuresti, Sector 6, zona Prelungirea Ghencea",Prelungirea Ghencea,agency,apartament,decomandat,1,69429,3,79,92,2019,bloc de apartamente,P+11E,Parter,11,1,2,,,1
422,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,242424,4,,129,2021,bloc de apartamente,D+P+5E,2,5,1,3,,,1
423,"Bucuresti, zona Drumul Taberei",Drumul Taberei,prepay,apartament,decomandat,1,94000,4,90,,,bloc de apartamente,P+4E,Parter,4,,2,,,
424,"Bucuresti, zona Herastrau",Herastrau,prepay,apartament,decomandat,lux,349900,2,146,,2007,bloc de apartamente,P+5E,4,5,,,,,
425,"Bucuresti, Sector 3, zona Mihai Bravu",Mihai Bravu,agency,apartament,decomandat,1,92000,2,62,74,2020,bloc de apartamente,P+3E,2,3,1,1,,,1
426,"Bucuresti, zona 13 Septembrie",13 Septembrie,prepay,apartament,decomandat,1,129900,3,81,,2020,bloc de apartamente,P+4E,2,4,,2,,,
427,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,50900,2,55,62,2020,bloc de apartamente,P+5E,Demisol,5,1,1,,,1
428,"Bucuresti, zona Brancoveanu",Brancoveanu,prepay,apartament,vagon,3,25000,1,18,,1984,bloc de apartamente,P+4E,Parter,4,,,,,
429,"Bucuresti, zona Aviatiei",Aviatiei,prepay,apartament,decomandat,lux,125000,3,118,,2020,bloc de apartamente,P+4E,1,4,,2,,,
430,"Bucuresti, Sector 3, zona Timpuri Noi",Timpuri Noi,agency,apartament,semidecomandat,lux,89900,2,60,71,2021,bloc de apartamente,D+P,2,,1,1,,,1
501,"Bucuresti, zona Aviatiei",Aviatiei,prepay,apartament,decomandat,lux,128000,2,61,,2020,bloc de apartamente,P+11E,8,11,,,,,
502,"Bucuresti, Sector 1, zona Baneasa",Baneasa,agency,apartament,semidecomandat,lux,144500,3,86,125,2019,bloc de apartamente,P+4E,1,4,1,1,,,4
503,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,1,67620,2,52,65,2020,bloc de apartamente,S+P+4E,1,4,1,1,,1,1
504,"Bucuresti, zona Brancoveanu",Brancoveanu,prepay,apartament,decomandat,1,65500,3,57,,1984,bloc de apartamente,P+10E,8,10,,1,,,
505,"Bucuresti, zona Gorjului",Gorjului,prepay,apartament,decomandat,1,63000,2,55,,2020,bloc de apartamente,P+4E,3,4,,,,,
506,"Bucuresti, zona Drumul Taberei",Drumul Taberei,prepay,apartament,semidecomandat,1,56500,2,50,,1984,bloc de apartamente,P+10E,5,10,,,,,
507,"Bucuresti, zona 1 Decembrie 1918",1 Decembrie 1918,prepay,apartament,semidecomandat,,76800,2,52,,1984,bloc de apartamente,P+10E,7,10,,,,,
508,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,semidecomandat,lux,89000,3,71,93,2020,bloc de apartamente,D+P+4E,1,4,1,1,,1,1
509,"Bucuresti, zona Mihai Bravu",Mihai Bravu,prepay,apartament,decomandat,lux,111000,3,80,,2015,casa/vila,P+3E,1,3,,1,,,
510,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,51500,2,58,69,2020,bloc de apartamente,P+6E,2,6,1,1,,1,1
511,"Bucuresti, Sector 3, zona Theodor Pallady",Theodor Pallady,agency,apartament,decomandat,lux,99500,3,89,102,2021,bloc de apartamente,S+P+6E,5,6,1,2,,,1
512,"Bucuresti, Sector 6, zona Prelungirea Ghencea",Prelungirea Ghencea,agency,apartament,decomandat,1,70389,3,80,92,2020,bloc de apartamente,S+P+11E,7,11,1,2,,,1
513,"Bucuresti, Sector 3, zona Nicolae Grigorescu",Nicolae Grigorescu,agency,apartament,semidecomandat,2,95000,2,54,74,2016,bloc de apartamente,D+P,4,,1,2,,,1
514,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,1,69994,2,45,53,2020,bloc de apartamente,S+P+7E,2,7,1,1,,,1
515,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,1,109177,3,80,85,2020,bloc de apartamente,S+P+7E,3,7,1,2,,,2
516,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,399000,4,173,206,2020,bloc de apartamente,P+5E,5,5,1,4,,,
517,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,116000,3,129,129,2007,bloc de apartamente,P+10E,5,10,1,2,,,3
518,"Bucuresti, Sector 3, zona Nicolae Grigorescu",Nicolae Grigorescu,agency,apartament,decomandat,1,82000,2,67,67,2020,bloc de apartamente,P+3E,3,3,1,1,,,1
519,"Bucuresti, Sector 3, zona Titan",Titan,agency,apartament,decomandat,lux,74500,2,64,77,2021,bloc de apartamente,S+P+6E,1,6,1,1,,,1
520,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,67000,2,65,78,2012,bloc de apartamente,P+3E,2,3,1,2,,1,2
521,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,124000,3,148,148,2007,bloc de apartamente,P+4E+M,4,4,1,2,,,4
522,"Bucuresti, Sector 3, zona Theodor Pallady",Theodor Pallady,agency,apartament,decomandat,lux,71900,3,70,78,2020,bloc de apartamente,P+4E,1,4,1,2,,,1
523,"Bucuresti, Sector 3, zona Theodor Pallady",Theodor Pallady,agency,apartament,decomandat,,52723,2,48,,2020,bloc de apartamente,S+P+11E,4,11,1,1,,,1
524,"Bucuresti, zona Unirii",Unirii,agency,apartament,semidecomandat,1,319000,3,82,100,2019,bloc de apartamente,S+P+5E,5,5,1,2,,,
525,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,31500,1,39,49,2021,bloc de apartamente,P+6E,2,6,1,1,,,1
526,"Bucuresti, Sector 1, zona Baneasa",Baneasa,agency,apartament,semidecomandat,lux,89500,2,55,70,2010,bloc de apartamente,P+6E,4,6,1,1,,,1
527,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,675000,5,256,293,2020,bloc de apartamente,P+5E,5,5,1,4,,,
528,"Bucuresti, zona Theodor Pallady",Theodor Pallady,agency,apartament,decomandat,1,49990,2,45,52,2020,bloc de apartamente,P+7E,2,7,1,1,,,1
529,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,109000,2,48,60,2022,bloc de apartamente,P+5E,1,5,1,1,,,1
530,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,1,62500,2,56,64,,bloc de apartamente,P+6E,1,6,1,1,,,1
601,"Bucuresti, zona Unirii",Unirii,agency,apartament,semidecomandat,1,449000,4,131,198,2019,bloc de apartamente,S+P+5E,Parter,5,1,3,,,
602,"Bucuresti, Sector 1, zona Baneasa",Baneasa,agency,apartament,decomandat,lux,90125,2,54,75,2018,bloc de apartamente,S+P+7E,1,7,1,1,,,1
603,"Bucuresti, Sector 1, zona Baneasa",Baneasa,agency,apartament,decomandat,1,104000,2,61,,2019,bloc de apartamente,P+6E,Parter,6,1,1,,,1
604,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,255000,3,103,123,2019,bloc de apartamente,S+P+8E,8,8,1,2,1,1,1
605,"Bucuresti, Sector 3, zona Theodor Pallady",Theodor Pallady,agency,apartament,decomandat,lux,59900,3,57,68,2019,bloc de apartamente,P+4E,2,4,1,2,,,3
606,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,lux,48325,2,58,68,2020,bloc de apartamente,P+4E,4,4,1,1,,,1
607,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,lux,69500,2,57,75,2020,bloc de apartamente,D+P+5E,3,5,1,1,,,1
609,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,lux,89500,3,74,86,2020,bloc de apartamente,P+5E,2,5,1,2,,,1
610,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,251545,4,112,136,2021,bloc de apartamente,D+P+5E,2,5,1,3,,,1
611,"Bucuresti, zona Theodor Pallady",Theodor Pallady,agency,apartament,decomandat,1,56500,2,51,56,2020,bloc de apartamente,P+7E,2,7,1,1,,,1
612,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,215000,3,101,123,2019,bloc de apartamente,S+P+8E,8,8,1,2,1,1,1
613,"Bucuresti, Sector 1, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,1,96116,3,66,87,2020,bloc de apartamente,S+P+11E,11,11,1,2,,,1
614,"Bucuresti, Sector 1, zona Domenii",Domenii,agency,apartament,decomandat,lux,215000,4,100,133,2021,bloc de apartamente,S+P+12E,4,12,1,2,,1,1
615,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,775000,5,220,425,2020,bloc de apartamente,P+5E,5,5,1,4,,2,
616,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,215000,3,87,107,2019,bloc de apartamente,S+P+7E,6,7,1,2,1,1,1
617,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,118881,2,53,64,2020,bloc de apartamente,P+5E,2,5,1,1,,,
618,"Bucuresti, Sector 6, zona Valea Oltului",Valea Oltului,agency,apartament,decomandat,1,93000,3,86,101,2019,bloc de apartamente,P+6E,1,6,1,2,,,2
619,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,26500,1,31,,2021,bloc de apartamente,P+3E,Parter,3,1,1,,,1
